"id","submitdate","lastpage","startlanguage","seed","DT01[SQ001]","DT01[SQ011]","DT01[SQ002]","DT01[SQ005]","DT01[SQ004]","DT01[SQ003]","DT01[SQ006]","DT01[SQ007]","DT01[SQ008]","DT01[SQ009]","DT01[SQ010]","DT01[other]","DT06[SQ001]","DT06[SQ002]","DT06[SQ003]","DT06[SQ004]","DT06[other]","DT02[SQ001]","DT02[SQ002]","DT02[SQ003]","DT02[SQ006]","DT02[SQ005]","DT02[other]","DT03","DT03[other]","DT04a","DT04b","DT05a","DT05b","DQ01","DQ02","DQ03[SQ001]","DQ03[SQ002]","DQ04","DHRP01","DHRP02[SQ001]","DHRP02[SQ002]","DHRP02[SQ003]","DHRP02[SQ004]","DHRP07[SQ001]","DHRP07[SQ001comment]","DHRP07[SQ002]","DHRP07[SQ002comment]","DHRP07[SQ003]","DHRP07[SQ003comment]","DHRP07[SQ004]","DHRP07[SQ004comment]","DHRP07[SQ005]","DHRP07[SQ005comment]","DHRP07[SQ006]","DHRP07[SQ006comment]","DHRP07[other]","DHRP07[othercomment]","DHRP06[SQ001]","DHRP06[SQ002]","DHRP06[SQ003]","DHRP06[SQ004]","DHRP05[SQ001]","DHRP05[SQ002]","DHRP05[SQ003]","DHRP05[SQ004]","DHRP03a[SQ001]","DHRP03a[SQ002]","DHRP03a[SQ003]","DHRP03b[SQ001]","DHRP03b[SQ002]","DHRP03b[SQ003]","DHRP03c[SQ001]","DHRP03c[SQ002]","DHRP03c[SQ003]","DHRP04[SQ001]","DHRP04[SQ002]","DHRP04[SQ003]","DHRP04[SQ004]","ORDM01","ORDM02[SQ001]","ORDM02[SQ002]","ORDM02[SQ003]","ORDM02[SQ016]","ORDM02[SQ004]","ORDM02[SQ005]","ORDM02[SQ006]","ORDM02[SQ007]","ORDM02[SQ008]","ORDM02[SQ009]","ORDM02[SQ010]","ORDM02[SQ011]","ORDM02[SQ012]","ORDM02[SQ013]","ORDM02[SQ014]","ORDM02[SQ015]","ORDM03","D03","D03[other]","D06","D02[SQ001]","D02[SQ002]","D02[SQ008]","D02[SQ003]","D02[SQ004]","D02[SQ005]","D02[SQ006]","D02[SQ007]","D02[other]"
"208","1980-01-01 00:00:00","5","de","1454287492","No","No","No","Yes","Yes","Yes","No","No","Yes","No","No","","Yes","No","No","No","","No","Yes","Yes","No","Yes","","Proprietary and open source formats","","Yes","Falls es sich um sensible Daten handelt sind es solche aus Industrieprojekte welche durch ein NDA geschützt sind.","No","","1 GB - 9 GB","0 - 99 GB","10 GB - 99 GB","","Fewer than 5 people","6-10","Rarely","Most of the time","Never, or almost never","Never, or almost never","No","","Yes","","Yes","","No","","No","","No","","","","Tend to agree","Completely disagree","Tend to agree","Tend to agree","Never, or almost never","Never, or almost never","Sometimes","Never, or almost never","","","","Rarely","Sometimes","Never, or almost never","","","","Sometimes","Always, or almost always","Sometimes","Sometimes","To a large extent","To little or no extent at all","To a large extent","To little or no extent at all","To some extent","To a large extent","To little or no extent at all","To little or no extent at all","To some extent","To little or no extent at all","To some extent","To a large extent","","To little or no extent at all","To some extent","To a large extent","To some extent","","Doctorate/PhD","","Electrical and Information Engineering","No","No","Yes","No","No","No","No","No",""
"209","1980-01-01 00:00:00","5","de","654115600","No","No","Yes","Yes","No","No","No","No","No","No","Yes","","No","No","No","Yes","","Yes","No","No","Yes","No","","Predominantly open source formats","","Yes","Daten von Industriepartnern","No","","100 MB - 999 MB","100 GB - 499 GB","< 10 GB","10 GB - 99 GB","Fewer than 5 people","","","","","","No","","Yes","","No","","Yes","","No","","No","","","","Completely agree","Don't know/Cannot answer","Tend to disagree","Completely agree","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","","","","Do not know/cannot answer","Never, or almost never","Most of the time","Never, or almost never","Sometimes","Sometimes","Always, or almost always","Most of the time","Sometimes","Most of the time","Do not know/cannot answer","To a large extent","To a large extent","Do not know/cannot answer","To some extent","To a very large extent","To little or no extent at all","Do not know/cannot answer","To some extent","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","To little or no extent at all","To little or no extent at all","To little or no extent at all","To some extent","To a large extent","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Electrical and Information Engineering","No","No","No","No","No","No","Yes","No",""
"211","1980-01-01 00:00:00","5","de","827041578","No","No","Yes","No","No","No","No","No","Yes","No","Yes","","Yes","No","No","No","","No","No","No","Yes","No","","Proprietary formats exclusively","","No","","No","","Up to 99 MB","0 - 99 GB","< 10 GB","< 10 GB","Fewer than 5 people","1-5","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","No","","No","","No","","Yes","","No","","No","","","","Don't know/Cannot answer","Completely disagree","Tend to agree","Don't know/Cannot answer","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","","","","Never, or almost never","Never, or almost never","Rarely","Always, or almost always","Never, or almost never","Never, or almost never","Always, or almost always","Most of the time","Sometimes","Sometimes","Do not know/cannot answer","To little or no extent at all","Do not know/cannot answer","To little or no extent at all","Do not know/cannot answer","To little or no extent at all","Do not know/cannot answer","To some extent","To a very large extent","To a large extent","To a large extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To some extent","To some extent","To some extent","","Doctorate/PhD","","Mathematics, Physics, and Geodesy","No","No","No","No","Yes","No","No","No",""
"213","1980-01-01 00:00:00","5","de","1092893167","No","No","Yes","No","Yes","No","No","No","Yes","No","Yes","","Yes","Yes","Yes","No","","No","Yes","Yes","Yes","Yes","","Proprietary and open source formats","","Yes","Daten aus Industrieprojekten","Yes","Materialproben von Bauwerken","10 GB - 99 GB","500 GB - 900 GB","10 TB - 100 TB","1 TB - 10 TB","Fewer than 5 people","6-10","Never, or almost never","Rarely","Never, or almost never","Never, or almost never","No","","No","","No","","Yes","das bezieht sich auf Simulationsergebnisse, Quellcode geben wir nicht weiter","No","","No","","","","Tend to disagree","Tend to disagree","Tend to agree","Tend to agree","Never, or almost never","Never, or almost never","Rarely","Never, or almost never","","","","Never, or almost never","Never, or almost never","Never, or almost never","","","","Always, or almost always","Sometimes","Rarely","Never, or almost never","To some extent","To a large extent","To a large extent","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","To a large extent","To a large extent","Do not know/cannot answer","To little or no extent at all","To a large extent","To a large extent","To a large extent","To some extent","To a large extent","To a large extent","To a large extent","","Doctorate/PhD","","Civil Engineering Sciences","No","No","Yes","No","No","No","No","No",""
"214","1980-01-01 00:00:00","5","de","1616978109","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes","","Yes","Yes","No","No","","No","Yes","Yes","Yes","No","","Proprietary and open source formats","","Yes","","Yes","","1 GB - 9 GB","0 - 99 GB","< 10 GB","10 GB - 99 GB","5-9 people","1-5","Never, or almost never","Sometimes","Never, or almost never","Never, or almost never","No","","Yes","nur projektintern","No","","No","","No","","No","","","","Tend to agree","Tend to agree","Completely disagree","Completely agree","Never, or almost never","Never, or almost never","Always, or almost always","Never, or almost never","","","","Never, or almost never","Never, or almost never","Sometimes","Sometimes","Always, or almost always","Never, or almost never","Always, or almost always","Always, or almost always","Never, or almost never","Most of the time","To little or no extent at all","To a large extent","To a large extent","To a large extent","To a large extent","To a large extent","To a large extent","To a very large extent","To a very large extent","To little or no extent at all","To little or no extent at all","To some extent","To little or no extent at all","To a large extent","To a large extent","To a large extent","To a large extent","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Technical Chemistry, Chemical and Process Engineering, Biotechnology","No","No","No","No","No","No","Yes","No",""
"216","1980-01-01 00:00:00","5","de","1833801293","No","No","Yes","No","Yes","Yes","No","No","Yes","No","Yes","","Yes","No","No","No","","No","No","Yes","No","No","","Proprietary and open source formats","","Yes","Klinische Daten (Patienten)","No","","10 GB - 99 GB","100 GB - 499 GB","10 GB - 99 GB","< 10 GB","10-19 people","","","","","","No","","No","","No","","No","","Yes","","No","","","","Tend to agree","Tend to disagree","Completely agree","Completely agree","Sometimes","Sometimes","Never, or almost never","Never, or almost never","","","","Never, or almost never","Never, or almost never","Most of the time","Most of the time","Most of the time","Most of the time","Always, or almost always","Always, or almost always","Most of the time","Never, or almost never","To a very large extent","To a very large extent","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","To little or no extent at all","To little or no extent at all","To little or no extent at all","To some extent","To a large extent","To a very large extent","To some extent","To some extent","Do not know/cannot answer","To little or no extent at all","To little or no extent at all","Wir wollen wirklich nicht noch mehr institutionelle Vorgaben","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Mathematics, Physics, and Geodesy","No","No","No","No","No","No","Yes","No",""
"217","1980-01-01 00:00:00","5","de","2030563135","No","No","No","Yes","Yes","Yes","No","No","Yes","No","No","","Yes","Yes","Yes","No","","No","No","Yes","No","Yes","","Do not know/Cannot answer","","Yes","Industrieprojekte","Yes","Filter","1 GB - 9 GB","100 GB - 499 GB","","","Fewer than 5 people","","","","","","Yes","","Yes","","No","","No","","No","","No","","","","Tend to agree","Tend to disagree","Tend to agree","Completely agree","Sometimes","Never, or almost never","Rarely","Never, or almost never","","","","Never, or almost never","Never, or almost never","Sometimes","Sometimes","Sometimes","Always, or almost always","Rarely","Always, or almost always","Sometimes","Never, or almost never","To little or no extent at all","To some extent","To a large extent","Do not know/cannot answer","To some extent","To little or no extent at all","To little or no extent at all","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To some extent","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","To some extent","To little or no extent at all","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Mechanical Engineering and Economic Sciences","No","No","No","No","No","No","Yes","No",""
"218","1980-01-01 00:00:00","5","de","1485287939","No","No","No","No","No","No","No","No","No","No","Yes","","Yes","No","No","No","","No","Yes","No","No","No","","Predominantly proprietary formats","","No","","No","","100 GB - 499 GB","100 GB - 499 GB","100 GB - 999 GB","100 GB - 999 GB","5-9 people","6-10","Rarely","Rarely","Sometimes","Never, or almost never","No","","Yes","Kooperationspartner sind meist auch Auftraggeber","No","","No","","No","","No","","","","Tend to disagree","Completely disagree","Tend to agree","Tend to agree","Never, or almost never","Never, or almost never","Rarely","Rarely","","","","Sometimes","Most of the time","Never, or almost never","","","","Always, or almost always","Most of the time","Sometimes","Never, or almost never","To a large extent","To little or no extent at all","To a large extent","To little or no extent at all","To some extent","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To some extent","To little or no extent at all","To some extent","To little or no extent at all","To a very large extent","To some extent","To some extent","To some extent","","Doctorate/PhD","","Mechanical Engineering and Economic Sciences","No","Yes","No","No","No","No","No","No",""
"219","1980-01-01 00:00:00","5","de","1491855304","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","","Yes","No","No","No","","Yes","Yes","Yes","Yes","Yes","","Do not know/Cannot answer","","No","","Yes","metallische Materialproben","10 GB - 99 GB","0 - 99 GB","10 GB - 99 GB","10 GB - 99 GB","5-9 people",">20","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","No","","Yes","","Yes","","No","","No","","No","","","","Tend to disagree","Completely disagree","Completely disagree","Don't know/Cannot answer","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","","","","Never, or almost never","Never, or almost never","Rarely","Most of the time","Never, or almost never","Never, or almost never","Most of the time","Sometimes","Sometimes","Never, or almost never","Do not know/cannot answer","To some extent","To a very large extent","To little or no extent at all","To little or no extent at all","To some extent","To some extent","To some extent","To some extent","Do not know/cannot answer","Do not know/cannot answer","To a very large extent","To little or no extent at all","To a very large extent","To a very large extent","To a very large extent","To a very large extent","","Doctorate/PhD","","Mechanical Engineering and Economic Sciences","No","Yes","No","No","No","No","No","No",""
"220","1980-01-01 00:00:00","5","de","1717185733","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","","Yes","Yes","No","No","","Yes","No","Yes","No","Yes","","Proprietary and open source formats","","No","","No","","> 500 GB","500 GB - 900 GB","100 GB - 999 GB","100 GB - 999 GB","5-9 people","11-20","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","No","","Yes","","No","","Yes","","No","","No","","","","Don't know/Cannot answer","Don't know/Cannot answer","Don't know/Cannot answer","Don't know/Cannot answer","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","","","","Never, or almost never","Never, or almost never","Never, or almost never","","","","Always, or almost always","Always, or almost always","Never, or almost never","Never, or almost never","To little or no extent at all","To little or no extent at all","To a large extent","To little or no extent at all","To a large extent","To a large extent","To little or no extent at all","To little or no extent at all","To some extent","To some extent","To a very large extent","To a very large extent","To a large extent","To a very large extent","To some extent","To some extent","To little or no extent at all","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Electrical and Information Engineering","No","No","No","No","No","Yes","No","No","Projektleiter"
